incident_id,date_reported,app_name,client_name,impacted_clients,reported_by,ttd,ttk,ttm,ttc,rca_summary,rca_tags,team_owning,severity,category,incident_type
05887193-a95d-4e80-9dc2-1a22a7c995ca,2025-02-09 18:55:00,App15,Client1,"Client6, Client4, Client9, Client5",client,44,20,45,297,Database node crashed due to cache eviction in reporting module.,"DB, Latency, Config",Team14,1,Infra,Session Handling Error
196fdd43-d87c-4627-a186-565eaad72754,2025-03-26 07:09:00,App19,Client1,Client3,client,27,11,75,174,Intermittent issue caused by latency spikes in frontend layer.,"OAuth, Config, DB",Team5,1,Integration,Storage Failure
ccb05246-060a-465e-9073-2c5bb78082e1,2025-03-10 06:50:00,App4,Client7,Client9,client,3,20,40,122,latency spikes threshold exceeded in backend.,"Network, DB, Latency",Team3,0,Infra,Code Regression
d130cb3b-5ba3-41ff-af77-2ee0cf285f53,2025-03-15 13:02:00,App11,Client8,Client1,client,12,2,25,210,Deployment caused missing patch in database.,"API, Latency, Session",Team6,2,Infra,Session Handling Error
eabcb8ad-7150-4183-98d6-cd93024bd9f4,2025-02-13 22:01:00,App5,Client2,Client4,client,40,20,6,32,Database node crashed due to missing patch in backend.,"Latency, Cache, DB",Team15,2,Application,Session Handling Error
5555ccb4-cf65-4020-a773-8e1e197b2948,2025-05-26 19:35:00,App12,Client8,"Client4, Client2, Client7, Client3",client,45,27,63,295,Intermittent issue caused by cache eviction in database layer.,"Disk, Config, OAuth",Team11,0,Infra,Misconfiguration
dfdf9e85-dadb-401b-92bc-bac38290192a,2025-04-29 14:53:00,App13,Client7,"Client10, Client9, Client1",client,46,14,31,244,missing patch configuration led to frontend errors.,"Disk, Session, Cache",Team12,1,Infra,Timeout Error
cac71aea-5d5b-45b6-87a9-35d5066d9cc5,2025-01-16 22:23:00,App25,Client9,"Client5, Client3, Client9, Client6",client,30,9,83,211,Database node crashed due to cache eviction in frontend.,"API, DB, Config",Team6,0,Infra,Timeout Error
c07a8796-34ca-45f9-a2c0-c3327058b374,2025-01-24 23:44:00,App22,Client8,"Client6, Client9, Client5, Client1",client,6,23,87,222,Intermittent issue caused by network timeout in database layer.,"DB, Cache, OAuth",Team11,2,Application,Timeout Error
d972c6e6-ee0d-44f3-a272-dccca9726f4c,2025-04-28 11:31:00,App6,Client5,"Client10, Client3, Client1, Client4",client,45,10,32,34,Deployment caused missing patch in database.,"OAuth, Config, API",Team6,3,Infra,Third-party API Change
82c35625-f355-4cef-9149-5fd0d0499829,2025-05-29 11:32:00,App18,Client4,"Client5, Client4",client,27,18,16,236,Service latency spikes faced API gateway during operation.,"Cache, Config, API",Team12,3,Application,Timeout Error
cde6b2d8-8368-48e6-ac1e-c6a9c231dcfd,2025-05-22 10:49:00,App8,Client2,Client2,client,49,10,55,258,Service network timeout faced API gateway during operation.,"Cache, Latency, Session",Team6,0,Security,Storage Failure
41b4c2df-2c56-4130-af28-931b95a0a3e1,2025-03-25 00:22:00,App13,Client8,"Client6, Client8",client,47,30,75,260,high I/O configuration led to auth layer errors.,"OAuth, Disk, Cache",Team7,1,Infra,Cache Inconsistency
63206406-0ee6-498e-8d96-1146647012a6,2025-03-08 21:31:00,App9,Client10,"Client10, Client1, Client6, Client8",client,29,11,65,181,cache eviction threshold exceeded in backend.,"DB, API, OAuth",Team10,1,Integration,Cache Inconsistency
8294fe6c-1a6c-4e0a-b8a9-9f52f5b59ac4,2025-03-25 10:16:00,App20,Client9,"Client6, Client8, Client1, Client10",client,56,24,86,225,Service network timeout faced backend during operation.,"Latency, DB, Disk",Team5,2,Integration,Session Handling Error
ab1a5133-5101-408c-aed4-9944f685c6e8,2025-03-01 23:17:00,App28,Client3,"Client4, Client6, Client1",client,21,16,60,131,Deployment caused high I/O in auth layer.,"Cache, OAuth, Disk",Team8,3,Application,Memory Leak
49e7f2dc-7938-4cc2-83bb-8fcf52d675b8,2025-03-22 09:37:00,App24,Client10,"Client5, Client1",client,46,5,22,213,Deployment caused latency spikes in backend.,"Network, Latency, DB",Team6,0,Network,DNS Failure
88909d9d-bcb5-415b-bccd-4bac3a4d3a35,2025-01-07 04:38:00,App18,Client1,"Client1, Client2",client,52,16,84,182,Intermittent issue caused by high I/O in database layer.,"API, Disk, DB",Team3,3,Integration,Storage Failure
3aec67bb-5004-46ec-9cc8-21f1ce904e11,2025-02-27 00:22:00,App17,Client7,"Client7, Client4, Client5, Client8",client,6,19,59,89,network timeout threshold exceeded in reporting module.,"Config, API, Disk",Team5,0,Integration,Code Regression
bc862047-b163-4510-9008-963d32363145,2025-04-17 03:51:00,App12,Client10,"Client8, Client5, Client7",client,36,18,39,291,Intermittent issue caused by network timeout in API gateway layer.,"DB, Cache, API",Team4,2,Network,Timeout Error
c76387eb-5158-4869-a5a0-be932a81e90b,2025-03-18 01:33:00,App23,Client5,"Client4, Client9, Client5, Client3",client,19,7,62,280,Service high I/O faced frontend during operation.,"Session, Config, OAuth",Team5,1,Network,Misconfiguration
f8b6e642-133a-4375-9f4f-0050a1bc3ffc,2025-01-10 13:22:00,App19,Client6,"Client8, Client7, Client6, Client9",client,28,12,51,202,Deployment caused cache eviction in auth layer.,"Disk, Latency, DB",Team6,2,Infra,DNS Failure
dd4f8c22-cb94-4f96-8840-567d5e71163d,2025-03-26 11:18:00,App24,Client9,"Client7, Client6",client,38,25,23,45,Deployment caused cache eviction in backend.,"API, Disk, Config",Team6,1,Integration,Cache Inconsistency
a4813cf0-9815-47c9-a45f-e62ae9ef61f9,2025-05-25 06:41:00,App5,Client7,Client9,client,57,28,77,142,Deployment caused cache eviction in reporting module.,"DB, Config, OAuth",Team13,2,Infra,Deployment Issue
460a83c5-acd5-46c2-9ed1-178db41e275f,2025-01-23 17:20:00,App12,Client1,"Client2, Client3, Client8, Client10",client,38,17,12,69,missing patch threshold exceeded in auth layer.,"OAuth, Network, Session",Team11,1,Integration,Third-party API Change
1574654c-3cc9-4c4d-9f20-a7347b3298a5,2025-01-06 23:20:00,App2,Client5,"Client6, Client2",client,24,26,19,117,Database node crashed due to cache eviction in frontend.,"DB, Network, Cache",Team14,2,Integration,Storage Failure
fca48acd-2fb1-4a20-84b5-ee837b4d2812,2025-03-19 01:42:00,App19,Client4,"Client10, Client9, Client1, Client7",client,38,6,38,283,bad config failure impacted multiple clients in backend module.,"OAuth, API, DB",Team4,0,Infra,Deployment Issue
af71e32f-97a5-4372-9669-de541eec4c3b,2025-05-22 00:04:00,App5,Client5,"Client7, Client4, Client8",client,29,20,81,119,Deployment caused latency spikes in database.,"API, OAuth, Session",Team4,2,Network,Third-party API Change
30a1f289-4e57-4baf-8748-1d1ef848cf6d,2025-02-18 18:44:00,App26,Client4,"Client9, Client7, Client4",client,4,26,86,261,latency spikes failure impacted multiple clients in reporting module module.,"Session, OAuth, DB",Team12,0,Integration,Third-party API Change
9daf5078-c811-44c9-b4fb-95a319efac22,2025-03-23 10:00:00,App16,Client1,"Client10, Client2, Client3, Client8",client,6,16,85,173,Intermittent issue caused by high I/O in frontend layer.,"Config, Disk, Latency",Team6,2,Infra,Third-party API Change
a887d7a9-d112-4229-a13e-cc0605eb96d3,2025-02-01 08:45:00,App22,Client7,Client10,client,27,15,42,211,Service cache eviction faced database during operation.,"DB, OAuth, API",Team12,2,Network,Session Handling Error
fa3dae19-e4ea-4a6f-a83d-49434dd621c5,2025-05-05 02:13:00,App19,Client5,"Client8, Client5",client,38,2,65,149,Deployment caused network timeout in backend.,"Cache, Network, Session",Team15,2,Infra,Code Regression
5a8b8d93-75e6-4e81-af2a-9c991363dec0,2025-04-14 02:43:00,App21,Client3,Client7,client,43,24,51,72,Database node crashed due to bad config in auth layer.,"Network, Session, Latency",Team4,2,Infra,Session Handling Error
110057e2-fa01-4cec-b336-56e3727af372,2025-05-10 04:58:00,App2,Client7,Client10,client,60,27,60,225,network timeout threshold exceeded in backend.,"Network, Disk, DB",Team2,1,Infra,Third-party API Change
95a0f971-70d7-4817-bba6-0f161acbe876,2025-05-01 08:02:00,App30,Client9,Client10,client,9,3,15,107,missing patch failure impacted multiple clients in auth layer module.,"Latency, API, Network",Team15,2,Infra,Timeout Error
028bdf88-8c9f-44c1-96bb-ca5e011d0ee9,2025-04-27 08:34:00,App30,Client8,Client5,client,8,12,7,117,Intermittent issue caused by missing patch in frontend layer.,"OAuth, Disk, Session",Team15,3,Infra,Storage Failure
d05afa3e-1e37-4e9c-b3be-2376024ee891,2025-04-03 20:38:00,App22,Client6,"Client1, Client6, Client5",client,29,19,22,270,Database node crashed due to high I/O in auth layer.,"Disk, DB, Config",Team9,3,Integration,Memory Leak
45ae105c-a7b6-470d-9813-2aa807ca0974,2025-01-18 23:24:00,App24,Client8,"Client8, Client2, Client10, Client6",client,14,6,36,266,latency spikes threshold exceeded in reporting module.,"API, OAuth, Session",Team13,2,Network,Cache Inconsistency
54a1451a-1b76-4564-88f1-9d5c21348262,2025-03-23 07:12:00,App15,Client4,"Client1, Client9",client,12,7,42,235,high I/O configuration led to auth layer errors.,"Disk, Config, OAuth",Team11,3,Network,Storage Failure
b67d7346-7cd9-4b45-973d-86343c37579b,2025-01-09 11:12:00,App17,Client9,"Client1, Client8, Client6, Client4",client,29,6,75,106,Intermittent issue caused by latency spikes in reporting module layer.,"Latency, Config, Session",Team8,3,Application,Deployment Issue
896f039e-5874-4ead-a8ac-42567a2c7937,2025-04-09 08:31:00,App23,Client3,"Client3, Client6, Client10, Client5",client,3,22,61,117,Database node crashed due to high I/O in frontend.,"Network, OAuth, DB",Team12,2,Application,DNS Failure
e6a9d0b7-2800-49aa-8398-606ef8b086b2,2025-03-31 03:22:00,App23,Client6,"Client10, Client6, Client5",client,15,4,59,172,Database node crashed due to bad config in database.,"Disk, Cache, Network",Team15,1,Integration,Session Handling Error
e7504fff-111d-4cf8-97a0-42f554ebba01,2025-02-04 16:30:00,App26,Client1,"Client4, Client6, Client5, Client1",client,47,25,74,160,Service high I/O faced database during operation.,"API, OAuth, Latency",Team7,3,Application,Third-party API Change
9a67e42f-23be-48fe-aaca-d25f9891701b,2025-02-13 10:47:00,App20,Client6,Client6,client,49,27,60,299,bad config failure impacted multiple clients in frontend module.,"API, Network, Config",Team15,2,Infra,Timeout Error
f920dc0e-7062-481c-80b6-d24200b78ac3,2025-01-10 20:11:00,App18,Client4,"Client7, Client3",client,18,26,64,39,high I/O configuration led to frontend errors.,"Network, Latency, DB",Team10,3,Network,Cache Inconsistency
05a1ef62-c475-441d-90cc-9387f877f334,2025-05-24 00:38:00,App18,Client4,"Client9, Client5, Client10, Client2",client,49,14,36,70,Deployment caused latency spikes in reporting module.,"Disk, API, Latency",Team6,3,Security,Code Regression
90c38ac3-7b88-4241-abe5-4fd82a8fdb09,2025-02-08 02:58:00,App5,Client1,"Client9, Client10",client,4,18,81,116,latency spikes configuration led to frontend errors.,"Disk, API, Latency",Team9,2,Security,DNS Failure
3c2ebe41-aa2c-41c1-8394-22919b9421ed,2025-02-19 05:43:00,App30,Client3,"Client1, Client6",client,11,25,28,189,Database node crashed due to bad config in database.,"DB, OAuth, Session",Team12,2,Security,Session Handling Error
498be830-5513-4064-b336-7c496a8c433f,2025-05-26 22:51:00,App2,Client5,Client1,client,51,3,37,131,Database node crashed due to network timeout in reporting module.,"Session, Config, OAuth",Team4,0,Security,Timeout Error
d07608c6-4cd2-4159-b81d-ff3315757766,2025-02-25 17:32:00,App26,Client4,"Client3, Client4",client,17,6,61,263,Service network timeout faced reporting module during operation.,"API, Cache, Latency",Team9,0,Security,Cache Inconsistency
7ce786c4-bc52-470c-b5ce-4c9ba2ee23ea,2025-05-06 11:08:00,App17,Client1,"Client6, Client1",client,51,1,5,75,Intermittent issue caused by high I/O in auth layer layer.,"Session, API, OAuth",Team7,0,Integration,Deployment Issue
babae783-8b76-4429-b1f1-67234c45a198,2025-02-14 10:38:00,App15,Client1,"Client6, Client8, Client7",client,54,16,10,95,network timeout failure impacted multiple clients in reporting module module.,"OAuth, Config, Session",Team2,1,Integration,DNS Failure
5fdf59e7-d490-4ab3-8ca6-bfe11fd96be9,2025-01-24 11:56:00,App23,Client9,"Client1, Client5, Client9, Client4",client,52,23,6,132,Service high I/O faced database during operation.,"API, Network, Cache",Team4,1,Application,Deployment Issue
73fe84d3-7736-4cad-ad6e-1291ae0ec65b,2025-04-27 07:36:00,App29,Client9,"Client1, Client2, Client9, Client10",client,33,2,82,54,bad config threshold exceeded in backend.,"API, Session, OAuth",Team6,1,Security,Misconfiguration
9c0debb1-1d92-4907-a4fa-e80617f0bf8e,2025-02-04 06:41:00,App14,Client1,"Client4, Client10",client,55,12,35,126,bad config threshold exceeded in auth layer.,"Disk, Cache, Session",Team6,0,Security,DNS Failure
fae2faba-ffe9-41a1-a2e7-4bec655f071a,2025-02-27 02:23:00,App1,Client3,"Client2, Client3",client,44,7,34,145,cache eviction failure impacted multiple clients in backend module.,"Config, Session, Disk",Team6,3,Infra,Deployment Issue
842721bc-8235-4c03-8bd5-8f4d117f875f,2025-05-04 19:39:00,App11,Client9,"Client7, Client5",client,9,15,51,92,missing patch failure impacted multiple clients in auth layer module.,"Latency, Session, Config",Team10,2,Integration,Storage Failure
80658784-8089-4b0b-a97c-3559790b0c53,2025-01-24 05:00:00,App6,Client1,Client1,client,15,7,44,163,high I/O failure impacted multiple clients in auth layer module.,"Config, Cache, OAuth",Team7,2,Application,Third-party API Change
7e11523d-b7c7-40e0-bf80-f03cbb78d88c,2025-04-30 03:15:00,App2,Client2,Client4,client,3,20,74,297,Service bad config faced API gateway during operation.,"Config, OAuth, Session",Team7,0,Infra,Deployment Issue
85c990a0-3bbe-4841-a8b9-0764acaea5a0,2025-04-26 06:21:00,App12,Client4,"Client3, Client10, Client8, Client5",client,9,5,41,194,latency spikes configuration led to frontend errors.,"Latency, Network, API",Team7,2,Network,Memory Leak
4c2eafb0-5b1b-4b35-be86-fb3422f5fec4,2025-03-05 02:31:00,App25,Client3,Client3,client,50,6,30,76,Deployment caused latency spikes in database.,"DB, Cache, Network",Team2,3,Network,Third-party API Change
d12889ac-2949-4ad4-a8fc-da99828bb636,2025-04-02 15:28:00,App26,Client3,"Client1, Client5",client,48,18,62,184,latency spikes threshold exceeded in auth layer.,"OAuth, API, Config",Team8,0,Infra,Storage Failure
a6c4659e-a0b5-4905-b693-10d10193b272,2025-03-27 04:32:00,App29,Client1,"Client10, Client3",client,30,7,45,163,cache eviction failure impacted multiple clients in auth layer module.,"Config, Disk, Latency",Team7,3,Network,Misconfiguration
4adddfdc-dca3-43ac-ba11-1907321143d2,2025-04-15 18:50:00,App28,Client4,"Client2, Client3",client,32,27,36,88,network timeout configuration led to API gateway errors.,"Network, Cache, Disk",Team4,2,Security,Timeout Error
c0463537-0dea-441b-85c3-f4f3ea3cb42c,2025-05-25 08:28:00,App27,Client10,"Client1, Client8, Client10",client,55,5,46,248,Deployment caused cache eviction in backend.,"Latency, Disk, Network",Team4,3,Application,Deployment Issue
d97bcb8a-7fa1-4a4b-b989-c07334b65f19,2025-05-25 13:34:00,App19,Client2,"Client5, Client3, Client4, Client10",client,23,1,43,33,Intermittent issue caused by high I/O in auth layer layer.,"Cache, Disk, Network",Team3,0,Application,Timeout Error
a8ca2a97-89a7-4d45-be30-33e5619c6fc0,2025-05-07 22:31:00,App26,Client2,"Client1, Client8, Client10",client,35,6,82,84,Service latency spikes faced reporting module during operation.,"Network, Session, DB",Team10,1,Network,Session Handling Error
163e1f53-89a8-4d05-80f6-048f445e1396,2025-05-25 20:09:00,App15,Client4,Client4,client,57,3,24,175,Database node crashed due to latency spikes in API gateway.,"Config, DB, Disk",Team11,0,Integration,DNS Failure
04d2c3c6-f51e-4d1a-b34c-3d60dd844284,2025-02-04 22:01:00,App4,Client9,"Client5, Client9, Client2",client,59,29,46,93,Service network timeout faced database during operation.,"Latency, Network, Config",Team12,0,Security,Third-party API Change
941a3bd2-7576-4456-9668-a58561ac1bc0,2025-04-29 19:55:00,App20,Client6,"Client2, Client7",client,50,4,29,108,Service missing patch faced auth layer during operation.,"Config, OAuth, DB",Team9,0,Security,Memory Leak
33751ca9-565f-458a-85c3-2e498041f172,2025-01-28 20:57:00,App6,Client9,"Client6, Client2",client,18,13,40,101,Service missing patch faced backend during operation.,"Disk, Cache, Config",Team4,2,Infra,Session Handling Error
ead5fb5d-9649-42f0-906b-8fe58a51d3fb,2025-03-21 18:11:00,App13,Client2,"Client9, Client8, Client4, Client10",client,25,20,78,56,bad config failure impacted multiple clients in frontend module.,"Latency, Config, Disk",Team5,3,Infra,Session Handling Error
07d0f40e-07c3-4289-8be8-dcaeab7de2d5,2025-01-13 11:55:00,App5,Client2,"Client5, Client4, Client1",client,4,13,44,212,Intermittent issue caused by cache eviction in auth layer layer.,"DB, API, OAuth",Team14,1,Application,Storage Failure
dc7e54fc-54af-44bc-bbff-3984ca0ddd3c,2025-03-18 09:31:00,App1,Client5,"Client3, Client6",client,37,29,39,39,Database node crashed due to latency spikes in auth layer.,"API, Latency, Session",Team15,3,Integration,DNS Failure
b904195a-57a0-4910-9faa-297df0c6f62f,2025-05-26 20:08:00,App1,Client4,"Client10, Client1, Client2",client,44,19,27,159,high I/O failure impacted multiple clients in backend module.,"Cache, DB, Session",Team10,2,Application,Misconfiguration
5973db4d-5d88-4e82-b03c-c61d9ef9213e,2025-04-07 11:21:00,App11,Client10,"Client8, Client6, Client2",client,17,19,11,181,high I/O failure impacted multiple clients in auth layer module.,"Config, DB, Latency",Team11,3,Infra,Code Regression
20fdd2ea-c619-4f52-b107-38d782729bbf,2025-04-09 01:56:00,App26,Client10,"Client8, Client5, Client4, Client2",client,10,18,59,153,high I/O threshold exceeded in backend.,"API, Config, OAuth",Team13,1,Integration,Timeout Error
f040c298-bebd-46b9-8a69-c4161d4b5512,2025-05-25 06:47:00,App7,Client5,"Client4, Client2",client,49,5,54,72,Database node crashed due to cache eviction in database.,"Disk, API, Cache",Team6,2,Security,Third-party API Change
9808f087-ab8b-4088-b54d-c2904d28a5a2,2025-03-21 14:06:00,App21,Client9,"Client3, Client4, Client7",client,13,22,8,250,Service cache eviction faced API gateway during operation.,"Config, OAuth, API",Team1,1,Infra,Memory Leak
523782f2-7450-42b9-af4c-a9e9d6560af6,2025-03-04 04:27:00,App4,Client1,Client2,client,11,19,14,242,Database node crashed due to network timeout in auth layer.,"DB, Network, Latency",Team1,1,Application,Storage Failure
e8f2a0e3-7954-4a3d-82c3-eac404da378f,2025-03-10 08:09:00,App12,Client7,"Client8, Client7, Client4, Client1",client,49,10,15,206,bad config failure impacted multiple clients in reporting module module.,"Cache, Network, API",Team12,1,Infra,Third-party API Change
217600b4-ded8-4865-ad5f-0029c5043a9f,2025-04-26 22:31:00,App10,Client4,Client9,client,51,21,38,139,Service high I/O faced frontend during operation.,"Config, Cache, Latency",Team7,1,Infra,DNS Failure
